sequence,frames,avg_nonground_points,min_nonground_points,max_nonground_points,FEC_csf_ms,FEC_cluster_ms,FEC_total_ms,FEC_cluster_fps,FEC_total_fps,FECunion_csf_ms,FECunion_cluster_ms,FECunion_total_ms,FECunion_cluster_fps,FECunion_total_fps,EC_csf_ms,EC_cluster_ms,EC_total_ms,EC_cluster_fps,EC_total_fps,RG_csf_ms,RG_cluster_ms,RG_total_ms,RG_cluster_fps,RG_total_fps
00,100,55410.880000,42654,73330,85.995736,19.031348,105.027083,52.544886,9.521354,85.835592,15.126107,100.961699,66.110863,9.904746,88.058196,145.080355,233.138551,6.892732,4.289295,90.475195,306.399128,396.874323,3.263717,2.519689
01,100,25505.790000,14082,40795,115.006557,14.210513,129.217070,70.370437,7.738916,109.542657,9.977371,119.520028,100.226801,8.366799,110.107979,23.021569,133.129547,43.437526,7.511481,112.644504,157.255447,269.899951,6.359080,3.705077
02,100,19422.670000,11409,36861,147.436934,8.903185,156.340119,112.319356,6.396311,150.501856,7.401544,157.903400,135.106946,6.332986,152.101787,23.935629,176.037416,41.778723,5.680611,154.027609,109.669565,263.697173,9.118300,3.792229
03,100,47128.710000,31299,71208,89.667054,18.741838,108.408892,53.356559,9.224336,94.469169,14.900669,109.369838,67.111081,9.143289,96.028138,101.027168,197.055306,9.898328,5.074717,96.828369,271.597172,368.425541,3.681923,2.714253
04,100,44095.940000,28486,52124,111.170713,18.524112,129.694825,53.983695,7.710408,114.273334,14.170790,128.444124,70.567695,7.785487,119.699221,70.818858,190.518079,14.120533,5.248846,119.787431,265.977007,385.764438,3.759723,2.592256
05,100,46808.840000,38380,55514,84.213608,18.246586,102.460193,54.804774,9.759888,86.602985,14.493691,101.096676,68.995538,9.891522,89.440151,133.023887,222.464038,7.517447,4.495109,88.140646,264.592176,352.732822,3.779401,2.835007
06,100,38848.070000,26017,59225,141.799605,16.574661,158.374266,60.333058,6.314157,144.081071,13.070776,157.151847,76.506552,6.363272,139.739283,116.009260,255.748543,8.620002,3.910091,138.506995,208.659440,347.166436,4.792498,2.880463
07,100,69144.760000,45660,116453,104.006372,25.868627,129.874999,38.656864,7.699711,103.933903,19.780382,123.714285,50.555141,8.083141,105.461390,376.497480,481.958870,2.656060,2.074866,105.195170,390.987346,496.182516,2.557628,2.015387
08,100,35716.190000,30182,45524,232.831618,15.281915,248.113532,65.436827,4.030413,250.573313,12.795635,263.368948,78.151653,3.796955,246.974444,60.392247,307.366691,16.558417,3.253443,251.836775,190.517159,442.353934,5.248871,2.260633
09,100,49316.510000,26078,65074,56.287226,26.206541,82.493767,38.158412,12.122128,54.813595,15.992263,70.805858,62.530238,14.123125,53.905738,67.830608,121.736346,14.742607,8.214474,51.435626,316.344042,367.779668,3.161115,2.719019
10,100,33159.870000,21764,55665,87.663271,16.162810,103.826080,61.870431,9.631491,89.770167,12.009285,101.779452,83.268904,9.825166,87.526394,107.950954,195.477348,9.263466,5.115682,87.839089,216.238703,304.077792,4.624519,3.288632
